inte',$S_0$,$S_1$,$S_2$,aero',$S_0$,$S_1$,$S_2$,dist',$S_0$,$S_1$,$S_2$,obse',$S_0$,$S_1$,$S_2$,ctrl',$S_0$,$S_1$,$S_2$
3.128135,0,0,0,3.128135,165.916728,-1434.532837,-5246.074487,3.128135,165.916728,-1434.532837,-5246.074487,3.128135,202.555087,-1750.1037,-6404.476519,3.128135,160093.9952,-1.38E+06,-5.06E+06
3.185953,0,0,0,3.185953,150.950299,-1305.711144,-4772.882087,3.185953,150.950299,-1305.711144,-4772.882087,3.185953,181.58571,-1569.467772,-5741.482606,3.185953,160349.0561,-1.38E+06,-5.07E+06
3.234685,0,0,0,3.234685,130.894328,-1132.702966,-4138.756431,3.234685,130.894328,-1132.702966,-4138.756431,3.234685,162.710199,-1406.76957,-5144.686357,3.234685,160549.988,-1.38E+06,-5.08E+06
3.289694,0,0,0,3.289694,122.526224,-1060.850621,-3874.190912,3.289694,122.526224,-1060.850621,-3874.190912,3.289694,144.162027,-1246.913959,-4558.240772,3.289694,160761.0536,-1.38E+06,-5.08E+06
3.333463,0,0,0,3.333463,104.161498,-902.26945,-3293.531216,3.333463,104.161498,-902.26945,-3293.531216,3.333463,132.756766,-1148.697187,-4197.639353,3.333463,160917.0819,-1.39E+06,-5.09E+06
3.370774,0,0,0,3.370774,100.843463,-873.910414,-3188.634558,3.370774,100.843463,-873.910414,-3188.634558,3.370774,124.861238,-1080.765872,-3948.008399,3.370774,161042.2002,-1.39E+06,-5.09E+06
3.409879,0,0,0,3.409879,104.356154,-904.803554,-3299.72569,3.409879,104.356154,-904.803554,-3299.72569,3.409879,117.056137,-1013.615475,-3701.236617,3.409879,161166.2176,-1.39E+06,-5.10E+06
3.464554,0,0,0,3.464554,94.932508,-823.737485,-3001.781326,3.464554,94.932508,-823.737485,-3001.781326,3.464554,106.381018,-921.743465,-3363.722891,3.464554,161328.2275,-1.39E+06,-5.10E+06
3.521354,0,0,0,3.521354,77.670268,-674.570717,-2455.975414,3.521354,77.670268,-674.570717,-2455.975414,3.521354,94.521922,-819.561397,-2988.769951,3.521354,161483.7572,-1.39E+06,-5.11E+06
3.570338,0,0,0,3.570338,60.052965,-522.031128,-1898.928752,3.570338,60.052965,-522.031128,-1898.928752,3.570338,84.261225,-731.082467,-2664.350895,3.570338,161608.0732,-1.39E+06,-5.11E+06
3.625259,0,0,0,3.625259,57.567765,-500.997214,-1820.37112,3.625259,57.567765,-500.997214,-1820.37112,3.625259,74.449354,-646.509742,-2354.124382,3.625259,161736.8114,-1.39E+06,-5.11E+06
